ID,BudgetLevel,RPIO,BFY,Fund,FundName,BOC,BocName,Org,RC,DivisionName,Code,Amount,SubProject,NPM,NpmCode,ProgramProjectCode,ProgramProjectName,ProgramArea,ProgramAreaName,Goal,GoalName,Objective,ObjectiveName
1,7,06,2018,B,EPM,10,PAYROLL,06,06,R06,101A45,265000,,OAR,A,45,CLEAN AIR,CAC,CLEAN AIR AND CLIMATE CHANGE,1,CORE MISSION,01,COMPLIANCE WITH THE LAW
2,7,06,2018,B,EPM,17,FTE,06,06,R06,101A45,2,,OAR,A,45,CLEAN AIR,CAC,CLEAN AIR AND CLIMATE CHANGE,1,CORE MISSION,01,COMPLIANCE WITH THE LAW
3,7,06,2018,B,EPM,21,TRAVEL,06,06,R06,101A45,62000,,OAR,A,45,CLEAN AIR,CAC,CLEAN AIR AND CLIMATE CHANGE,1,CORE MISSION,01,COMPLIANCE WITH THE LAW
4,8,06,2018,B,EPM,21,TRAVEL,06,06C,MANAGEMENT DIVISION,101A45,11212,,OAR,A,45,CLEAN AIR,CAC,CLEAN AIR AND CLIMATE CHANGE,1,CORE MISSION,01,COMPLIANCE WITH THE LAW
5,8,06,2018,B,EPM,21,TRAVEL,06,06R,REGIONAL RESERVE,101A45,0,,OAR,A,45,CLEAN AIR,CAC,CLEAN AIR AND CLIMATE CHANGE,1,CORE MISSION,01,COMPLIANCE WITH THE LAW
6,8,06,2018,B,EPM,21,TRAVEL,06,06N,WORKFORCE SUPPORT,101A45,11056,,OAR,A,45,CLEAN AIR,CAC,CLEAN AIR AND CLIMATE CHANGE,1,CORE MISSION,01,COMPLIANCE WITH THE LAW
7,8,06,2018,B,EPM,21,TRAVEL,06,06J,MULTIMEDIA DIVISION,101A45,39732,,OAR,A,45,CLEAN AIR,CAC,CLEAN AIR AND CLIMATE CHANGE,1,CORE MISSION,01,COMPLIANCE WITH THE LAW
8,7,06,2018,B,EPM,36,EXPENSES,06,06,R06,101A45,0,,OAR,A,45,CLEAN AIR,CAC,CLEAN AIR AND CLIMATE CHANGE,1,CORE MISSION,01,COMPLIANCE WITH THE LAW
9,7,06,2018,B,EPM,37,CONTRACTS,06,06,R06,101A45,0,,OAR,A,45,CLEAN AIR,CAC,CLEAN AIR AND CLIMATE CHANGE,1,CORE MISSION,01,COMPLIANCE WITH THE LAW
10,7,06,2018,B,EPM,38,WCF,06,06,R06,101A45,9000,,OAR,A,45,CLEAN AIR,CAC,CLEAN AIR AND CLIMATE CHANGE,1,CORE MISSION,01,COMPLIANCE WITH THE LAW
11,8,06,2018,B,EPM,38,WCF,06,06G,WORKING CAPITAL,101A45,9000,,OAR,A,45,CLEAN AIR,CAC,CLEAN AIR AND CLIMATE CHANGE,1,CORE MISSION,01,COMPLIANCE WITH THE LAW
12,7,06,2018,B,EPM,41,GRANTS,06,06,R06,101A45,0,,OAR,A,45,CLEAN AIR,CAC,CLEAN AIR AND CLIMATE CHANGE,1,CORE MISSION,01,COMPLIANCE WITH THE LAW
